exam_subject_id,program_year_id,year,subject_slot,subject_id,subject_name_raw,subject_name_std,score_max,exam_duration_minutes,exam_method,source_id,source_locator
EXAM-1a8e2e29-fe03-5ab8-b9ae-6c5e35d46697,PY-9d21463d-ba3d-5383-9ec8-cb2b45d8c4fe,2024,professional_2,SUBJ-01918fe9-ba7a-5bb6-81c1-08ef3a02dec6,插画设计,插画设计,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-39b38342-cac0-599a-9c39-c1bdec73d4df,PY-9d21463d-ba3d-5383-9ec8-cb2b45d8c4fe,2024,public_1,SUBJ-d88b6f0d-ab2d-511e-bbc2-2ff6a8d9b607,大学语文,大学语文,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-901e0513-cd99-5c5c-b2d5-694660108040,PY-9d21463d-ba3d-5383-9ec8-cb2b45d8c4fe,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-ee622085-a1ce-520b-9279-a8fd51e252f5,PY-185d8434-ad71-5d84-adff-537a7fe42fd8,2024,professional_1,SUBJ-af265a9a-3576-5139-8e32-0df76de6f524,基础无机化学,基础无机化学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-f965bd22-3cf5-5b5e-affa-d923ea17cff6,PY-185d8434-ad71-5d84-adff-537a7fe42fd8,2024,professional_2,SUBJ-f064f3e9-8008-5e68-86f5-1e55c4ebf102,基础分析化学,基础分析化学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-604bcf8e-0854-53e6-990b-20336fec227d,PY-185d8434-ad71-5d84-adff-537a7fe42fd8,2024,public_1,SUBJ-c1afee7c-2c8b-5b96-8fd0-29904b52131b,高等数学,高等数学,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-57252de8-fc9b-5c29-8c10-43410ce9100e,PY-185d8434-ad71-5d84-adff-537a7fe42fd8,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-d4ff95ed-d2b7-5c54-9522-f3f806fb8172,PY-2c4bd8ce-35e9-594f-a938-a656aa703f5a,2024,professional_1,SUBJ-75b484f9-a807-5e17-bbfd-039deebf492a,综合商务英语,综合商务英语,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-f809e674-23a3-5410-bea2-1d1011f6098a,PY-2c4bd8ce-35e9-594f-a938-a656aa703f5a,2024,professional_2,SUBJ-f99652b4-233b-513d-bfb1-921b9a24c570,旅游与酒店管理,旅游与酒店管理,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-43b3fb47-5526-59aa-b42c-56abf13e830e,PY-2c4bd8ce-35e9-594f-a938-a656aa703f5a,2024,public_1,SUBJ-d88b6f0d-ab2d-511e-bbc2-2ff6a8d9b607,大学语文,大学语文,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
