enrollment_plan_id,offering_id,plan_type,plan_value,value_status,plan_version,announcement_date,is_derived,derivation_method,raw_value,source_id,source_locator
PLAN-592a5d91-cf0d-5096-9f3b-261a3f086f9a,OFF-f438bb62-2d27-531f-a9e8-0ec45ab821e3,retired_soldier_non_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""体育教育"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-cdd5929e-a4e3-56da-967d-ac1a729b4a4e,OFF-f438bb62-2d27-531f-a9e8-0ec45ab821e3,registered_poor_family,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""体育教育"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-a927770e-1efc-57c3-b96d-0fa7aa20a56b,OFF-6b9681b9-fa20-5fec-8424-58c5163b91b3,total,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""供应链管理"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-be6a254d-c33e-5b63-8f35-3997dd6000fc,OFF-6b9681b9-fa20-5fec-8424-58c5163b91b3,retired_soldier_culture_exam_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""供应链管理"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-d583b151-445f-579d-98c1-1064f6741113,OFF-6b9681b9-fa20-5fec-8424-58c5163b91b3,retired_soldier_non_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""供应链管理"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-d2b5478a-2929-5d07-a439-3ec0733c3271,OFF-6b9681b9-fa20-5fec-8424-58c5163b91b3,registered_poor_family,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""供应链管理"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-79b229d3-46ce-5b57-a5f7-60b77ca789d6,OFF-8153285e-8b08-59c0-95da-4b14770854e4,total,30,explicit_value,original,2024-03-21,false,,30,SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-87904a37-9188-59ce-861a-d2cf0ebec8f8,OFF-8153285e-8b08-59c0-95da-4b14770854e4,retired_soldier_culture_exam_exempt,2,explicit_value,original,2024-03-21,false,,2,SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-3df17f2c-ccb3-56b8-b7c6-fa4a2fe81dd1,OFF-8153285e-8b08-59c0-95da-4b14770854e4,retired_soldier_non_exempt,1,explicit_value,original,2024-03-21,false,,1,SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-d171e042-d462-5d23-bf27-76646cd63376,OFF-8153285e-8b08-59c0-95da-4b14770854e4,registered_poor_family,2,explicit_value,original,2024-03-21,false,,2,SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-c4e1a75b-d242-55c2-891c-9e2f2624c78a,OFF-466442ff-30db-54dc-838c-f7fca01e0584,total,30,explicit_value,original,2024-03-21,false,,30,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
