reference_book_id,program_year_id,subject_id,book_name,author,publisher,edition,isbn,source_id,source_locator
BOOK-82f37b4e-5933-5bdb-95e7-2bf950e5f83c,PY-1fc46668-1f5f-5414-8051-6683797aa8c9,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,数据结构,严蔚敏、李冬梅、吴伟民编著,人民邮电出版社,第2版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":41,""row_key"":""计算机科学与技术|数据结构|数据结构"",""section"":""参考书目""}"
BOOK-d35d33aa-bf55-5371-8ba6-01e3a9cbbf63,PY-c1006596-0bc4-5d2f-bae9-d702b42dbe56,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,数据结构,严蔚敏、李冬梅、吴伟民编著,人民邮电出版社,第2版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":57,""row_key"":""计算机科学与技术|数据结构|数据结构"",""section"":""参考书目""}"
BOOK-f285a68e-df34-5f48-89ce-82387f385b9f,PY-57e78f73-a8db-57d9-80d6-67958e447a8f,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,数据结构,李冬梅、严蔚敏、吴伟民编著,人民邮电出版社,第3版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":42,""row_key"":""计算机科学与技术|数据结构|数据结构"",""section"":""参考书目""}"
BOOK-3f518f23-5a53-5c97-9874-081c72677cb7,PY-1fc46668-1f5f-5414-8051-6683797aa8c9,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,新编数据结构习题与解析,李春葆、喻丹丹、曾平、曾慧编著,清华大学出版社,,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":41,""row_key"":""计算机科学与技术|数据结构|新编数据结构习题与解析"",""section"":""参考书目""}"
BOOK-a9748980-49e1-5b0e-8315-19a726f1caf9,PY-c1006596-0bc4-5d2f-bae9-d702b42dbe56,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,新编数据结构习题与解析,李春葆、喻丹丹、曾平、曾慧编著,清华大学出版社,,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":57,""row_key"":""计算机科学与技术|数据结构|新编数据结构习题与解析"",""section"":""参考书目""}"
BOOK-70fae3d9-e09d-5d7b-a53c-d3afa32d3dab,PY-961cdbb0-595a-5c84-b275-3c44bd3f1afe,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,管理学原理,"王光健,胡友宇,石媚山",中国人民大学出版社,第二版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":9,""row_key"":""财务管理|管理学原理|管理学原理"",""section"":""参考书目""}"
BOOK-e1e7261f-63d8-5e80-a99a-86a73e081681,PY-f0469fae-303d-5f32-810f-4fc2c047798a,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,管理学原理,"王光健,胡友宇,石媚山",中国人民大学出版社,第二版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":8,""row_key"":""财务管理|管理学原理|管理学原理"",""section"":""参考书目""}"
BOOK-f3cfcca4-222f-5b4a-931d-05d00648a4ce,PY-7d7a90df-6856-5ed4-bd80-3bb9f115e50c,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,管理学原理,"王光健,胡友宇,石媚山",中国人民大学出版社,第二版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":8,""row_key"":""财务管理|管理学原理|管理学原理"",""section"":""参考书目""}"
BOOK-451eb433-15ef-5539-88de-ea455db07b48,PY-f0469fae-303d-5f32-810f-4fc2c047798a,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,基础会计,张凤明、唐淑文编著,立信会计出版社,第1版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":8,""row_key"":""财务管理|会计学原理|基础会计"",""section"":""参考书目""}"
BOOK-d52aeec4-101a-56cf-9366-9dc074d39867,PY-961cdbb0-595a-5c84-b275-3c44bd3f1afe,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,基础会计,张凤明、唐淑文编著,立信会计出版社,第1版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":9,""row_key"":""财务管理|会计学原理|基础会计"",""section"":""参考书目""}"
