application_statistic_id,offering_id,applicant_count,qualified_count,admitted_count,source_id,source_locator
APPSTAT-d650899b-d635-52f4-9dd4-2ef5e0de1620,OFF-7918aed3-8a9b-5618-ab5a-9eb8a382781b,80,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":21,""row_key"":""电气工程及其自动化|安徽工业经济职业技术学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-25b67cf5-8f09-51d7-8f6d-4bd0a91075ea,OFF-c945fa15-9041-5415-913b-66750f82e0ad,53,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":27,""row_key"":""电气工程及其自动化|淮北职业技术学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-0013ea6b-d499-51bc-a248-3a3d35276ea7,OFF-a16f69bd-4821-507f-b34c-12e9fe334e0e,170,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":13,""row_key"":""经济统计学|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-7325c436-b080-5772-81a7-d689f84447c5,OFF-b367c94d-0b02-55e7-b8ec-4af69600c0ee,440,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":6,""row_key"":""网络与新媒体|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-b2548af7-74fd-5d4a-a8a7-4d38bf604451,OFF-a02655f6-3bc4-5d92-b4ff-839b057ccd76,37,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":22,""row_key"":""网络工程|安徽工业经济职业技术学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-49cad700-74d0-5329-b7d6-065d9460b353,OFF-68ee766e-a958-5e4d-908d-864ee94290aa,247,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":4,""row_key"":""药物制剂|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-acd95256-a9a5-513d-a310-25f5d4b0606e,OFF-43881998-59b5-5099-8b34-4886838b1331,299,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":16,""row_key"":""视觉传达设计|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-96937a90-d0d3-509c-bc05-7a44b9899ab8,OFF-526bb7a2-7cbb-5542-a51a-9e6a4caa60d0,88,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":23,""row_key"":""计算机科学与技术|安徽工业经济职业技术学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-98cc45a3-ab4a-5e06-a292-366bdff02f34,OFF-f6bedd2a-e542-5dd3-b6d1-94f3b4753246,201,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":29,""row_key"":""计算机科学与技术|马鞍山师范高等专科学校"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-71eb2db0-ae52-5e79-bfdb-63ff9a54c6d6,OFF-e230a334-b7cd-57ef-863f-cf2565ef45d5,101,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":19,""row_key"":""财务管理|安徽工业经济职业技术学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-5edc0c07-03b9-5f0d-bcd5-3f4518069a09,OFF-68a7c64f-fe94-5123-a3db-c94792c44787,274,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":9,""row_key"":""软件工程|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-3c7e0b28-c2ef-5b1c-8765-9dabf43ab63a,OFF-f3b32e27-406d-5c7a-838b-bde8628de9f1,192,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":25,""row_key"":""运动康复|合肥职业技术学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-36e9824f-7e16-5c56-a3b9-c084ba0d858c,OFF-02b45d53-3476-53d0-b88a-b74856070dea,173,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":7,""row_key"":""通信工程|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-64769abd-98d1-559e-8ca8-8967e43def94,OFF-e663011d-a2ba-5dcb-8359-0611b0650a45,86,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":30,""row_key"":""食品质量与安全|马鞍山师范高等专科学校"",""section"":""分专业报考人数"",""table"":1}"
