asset_id,source_document_id,local_path,file_name,original_file_name,asset_type,mime_type,file_size,sha256,retrieved_at,parent_asset_id,parser_name,parser_version,generated_at
ASSET-AHNU-2025-ZC-PDF,SRC-AHNU-2025-ZC,raw/2025/AHNU/DOC-AHNU-2025-ZC.pdf,DOC-AHNU-2025-ZC.pdf,2025_AHNU_招生章程.pdf,raw_document,application/pdf,340053,e81f38a851a2cffe38342010db73827a819fae97e2d2fc7bac3243e8ab96c075,2026-08-14T16:19:06.881505+00:00,,,,
ASSET-AHNU-2026-LQ-CLEAN,SRC-AHNU-2026-LQ,raw/2026/AHNU/DOC-AHNU-2026-LQ_clean.txt,DOC-AHNU-2026-LQ_clean.txt,2026_AHNU_录取分数线_clean.txt,parsed_text,text/plain,2815,9aaeafd7f95bd44eac95166b12037604c4913e22ddc4a9d257231ce30c514e58,2026-08-14T16:19:06.881505+00:00,ASSET-AHNU-2026-LQ-HTML,,,
ASSET-AHNU-2026-LQ-HTML,SRC-AHNU-2026-LQ,raw/2026/AHNU/DOC-AHNU-2026-LQ.html,DOC-AHNU-2026-LQ.html,2026_AHNU_录取分数线.html,raw_document,text/html,28600,ed4086cfb8dcce76ab39043f9210ffeec56d95d857980cb3c7cfb6b3be1d3cd1,2026-08-14T16:19:06.881505+00:00,,,,
ASSET-AHNU-2026-LQ-META,SRC-AHNU-2026-LQ,raw/2026/AHNU/DOC-AHNU-2026-LQ_metadata.json,DOC-AHNU-2026-LQ_metadata.json,2026_AHNU_录取分数线_metadata.json,metadata,application/json,325,06a8c8b2d1f98d2fb9731c7913bae0eaa0060ed27b8e3c9b61bb03f0c66848aa,2026-08-14T16:19:06.881505+00:00,ASSET-AHNU-2026-LQ-HTML,,,
ASSET-AHNU-2026-ZC-CLEAN,SRC-AHNU-2026-ZC,raw/2026/AHNU/DOC-AHNU-2026-ZC_clean.txt,DOC-AHNU-2026-ZC_clean.txt,2026_AHNU_招生章程_clean.txt,parsed_text,text/plain,21418,052fc0e44277dc1f1891a87a71a78fd0f45269fdeb01c5dda1fe5c4859341b6e,2026-08-14T16:19:06.881505+00:00,ASSET-AHNU-2026-ZC-PDF,,,
ASSET-AHNU-2026-ZC-META,SRC-AHNU-2026-ZC,raw/2026/AHNU/DOC-AHNU-2026-ZC_metadata.json,DOC-AHNU-2026-ZC_metadata.json,2026_AHNU_招生章程_metadata.json,metadata,application/json,436,09a39623bf71f1347263b03cddbd7025c332faa51384bb105b4a86517d3fcc81,2026-08-14T16:19:06.881505+00:00,ASSET-AHNU-2026-ZC-PDF,,,
ASSET-AHNU-2026-ZC-PDF,SRC-AHNU-2026-ZC,raw/2026/AHNU/DOC-AHNU-2026-ZC.pdf,DOC-AHNU-2026-ZC.pdf,2026_AHNU_招生章程.pdf,raw_document,application/pdf,280342,57a3cb813929396258edbd82b593b0d8ec9bdc7124321707dfea8c523eb02d0d,2026-08-14T16:19:06.881505+00:00,,,,
ASSET-HFNU-2024-LQ-CLEAN,SRC-HFNU-2024-LQ,raw/2024/HFNU/DOC-HFNU-2024-LQ_clean.txt,DOC-HFNU-2024-LQ_clean.txt,2024_录取分数线_clean.txt,parsed_text,text/plain,4420,00d22c7d6e303fa8576867e898d458387acd80dbb583c8e6bccbaff282386734,2026-08-14T14:18:01.003588+00:00,ASSET-HFNU-2024-LQ-HTML,,,
ASSET-HFNU-2024-LQ-HTML,SRC-HFNU-2024-LQ,raw/2024/HFNU/DOC-HFNU-2024-LQ.html,DOC-HFNU-2024-LQ.html,2024_录取分数线.html,raw_document,text/html,48438,5d7c3b001fdd413ef78c2627b655f66e4c807630ef5fef9a7931d7c8c56f41e8,2026-08-14T14:18:01.003588+00:00,,,,
ASSET-HFNU-2024-LQ-META,SRC-HFNU-2024-LQ,raw/2024/HFNU/DOC-HFNU-2024-LQ_metadata.json,DOC-HFNU-2024-LQ_metadata.json,2024_录取分数线_metadata.json,metadata,application/json,571,106423763b2753bc2b03e8b9100680ac63ab7f3155a7d134b3c1ae7a8241c29b,2026-08-14T14:18:01.003588+00:00,ASSET-HFNU-2024-LQ-HTML,,,
