source_site_id,organization_id,organization_name,site_name,base_url,source_level
SITE-AHNU-ZSB,AHNU,安徽师范大学,安徽师范大学本科招生信息网,https://zsxx.ahnu.edu.cn/,S
SITE-HFNU-ZSB,HFNU,合肥师范学院,合肥师范学院本科招生网,https://zsb.hfnu.edu.cn/,S
