record_id,year,school_id,major_name_raw,major_name_std,major_code,major_category,discipline,plan_total,training_location,campus,joint_training,joint_training_school,study_years,tuition_raw,tuition_value,remarks_raw,source_id,source_url,source_page
HFNU-2024-026,2024,HFNU,小学教育,小学教育,,文,,60,,锦绣校区,true,淮北职业技术学院,2,5060,5060,淮北职业技术学院联合培养,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-027,2024,HFNU,电气工程及其自动化,电气工程及其自动化,,理,,60,,锦绣校区,true,淮北职业技术学院,2,5390,5390,淮北职业技术学院联合培养,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-028,2024,HFNU,环境设计,环境设计,,艺术,,80,,锦绣校区,true,马鞍山师范高等专科学校,2,8000,8000,马鞍山师范高等专科学校联合培养,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-029,2024,HFNU,计算机科学与技术,计算机科学与技术,,理,,120,,锦绣校区,true,马鞍山师范高等专科学校,2,5390,5390,马鞍山师范高等专科学校联合培养,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-030,2024,HFNU,食品质量与安全,食品质量与安全,,理,,80,,锦绣校区,true,马鞍山师范高等专科学校,2,4900,4900,马鞍山师范高等专科学校联合培养,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2025-001,2025,HFNU,商务英语,商务英语,,文,,120,,锦绣校区,false,,2,4600,4600,校本部,SRC-2025-ZC,,
HFNU-2025-002,2025,HFNU,电子信息工程,电子信息工程,,理,,120,,锦绣校区,false,,2,5390,5390,校本部,SRC-2025-ZC,,
HFNU-2025-003,2025,HFNU,药物制剂,药物制剂,,理,,140,,锦绣校区,false,,2,5200,5200,校本部,SRC-2025-ZC,,
HFNU-2025-004,2025,HFNU,人力资源管理,人力资源管理,,文,,120,,锦绣校区,false,,2,4600,4600,校本部,SRC-2025-ZC,,
HFNU-2025-005,2025,HFNU,市场营销,市场营销,,文,,120,,锦绣校区,false,,2,4600,4600,校本部,SRC-2025-ZC,,
