asset_id,source_document_id,local_path,file_name,original_file_name,asset_type,mime_type,file_size,sha256,retrieved_at,parent_asset_id,parser_name,parser_version,generated_at
ASSET-HFNU-2025-DG-PDF,SRC-HFNU-2025-DG,raw/2025/HFNU/DOC-HFNU-2025-DG.pdf,DOC-HFNU-2025-DG.pdf,合肥师范学院2025年普通专升本招生考试大纲及参考书目.pdf,raw_document,application/pdf,586659,1e1b59b9e6436bc291a3ab42d02ff77ba4aaa5aed676216f1a498d0de2c0200c,2026-08-14T17:29:58+00:00,,,,
ASSET-HFNU-2025-DG-PDF-TXT,SRC-HFNU-2025-DG,raw/2025/HFNU/DOC-HFNU-2025-DG.txt,DOC-HFNU-2025-DG.txt,DOC-HFNU-2025-DG.txt,parsed_text,text/plain,71011,446590f90d08e1e8cd8ebd47331a583e5166376b621ac73744ed023e39ecae88,2026-08-14T17:30:41+00:00,ASSET-HFNU-2025-DG-PDF,pdftotext,24.02.0,2026-08-14T17:30:41+00:00
ASSET-HFNU-2025-LQ-HTML,SRC-HFNU-2025-LQ,raw/2025/HFNU/DOC-HFNU-2025-LQ.html,DOC-HFNU-2025-LQ.html,DOC-HFNU-2025-LQ.html,html_snapshot,text/html,117971,af0d182d21e6daccf20fb8c9e6bbc2d261d858978bb665977299095974ad9bb7,2026-08-14T17:29:29+00:00,,,,
ASSET-HFNU-2025-LQ-HTML-TXT,SRC-HFNU-2025-LQ,raw/2025/HFNU/DOC-HFNU-2025-LQ_parsed.txt,DOC-HFNU-2025-LQ_parsed.txt,DOC-HFNU-2025-LQ_parsed.txt,parsed_text,text/plain,4443,6ce5faa25d110c659794d11848392cb2c52ad6e39da9081763fea05129c4512a,2026-08-14T17:10:00+00:00,ASSET-HFNU-2025-LQ-HTML,stage1-html-text-extractor,1.0,2026-08-14T17:10:00+00:00
ASSET-HFNU-2025-ZC-PARSED-TXT,SRC-HFNU-2025-ZC,raw/2025/HFNU/DOC-HFNU-2025-ZC_parsed.txt,DOC-HFNU-2025-ZC_parsed.txt,2025_招生章程_parsed.txt,parsed_text,text/plain,42871,739172ebf8877b594ef586e39f1969ebd7bc6c72c0135c113b37e344879182ab,2026-08-14,ASSET-HFNU-2025-ZC-PDF,legacy_pdf_parser,unknown,2026-08-14
ASSET-HFNU-2025-ZC-PDF,SRC-HFNU-2025-ZC,raw/2025/HFNU/DOC-HFNU-2025-ZC.pdf,DOC-HFNU-2025-ZC.pdf,2025_合肥师范学院_招生章程_官方.pdf,raw_document,application/pdf,405194,52259c218fdb48295fb782c99244dbeb4af8efe237d8ddb63bf27f46af59168e,2026-08-14,,,,
ASSET-HFNU-2026-DG-EMBEDDED-PDF,SRC-HFNU-2026-DG,raw/2026/HFNU/DOC-HFNU-2026-DG-EMBEDDED.pdf,DOC-HFNU-2026-DG-EMBEDDED.pdf,DOC-HFNU-2026-DG-ATT-02.pdf,raw_document,application/pdf,142514,c2c07f514d5b3326603dfe294290ed504a2218a4888f6d7a207c1741ad70c7fb,2026-08-14T17:10:00+00:00,ASSET-HFNU-2026-DG-HTML,,,
ASSET-HFNU-2026-DG-HTML,SRC-HFNU-2026-DG,raw/2026/HFNU/DOC-HFNU-2026-DG.html,DOC-HFNU-2026-DG.html,DOC-HFNU-2026-DG.html,html_snapshot,text/html,24692,a545bb070d42c2b120f2d118ff34c1208a4d96f4f1785a98ae7a76ff3ed03ca1,2026-08-14T17:30:18+00:00,,,,
ASSET-HFNU-2026-DG-HTML-TXT,SRC-HFNU-2026-DG,raw/2026/HFNU/DOC-HFNU-2026-DG_parsed.txt,DOC-HFNU-2026-DG_parsed.txt,DOC-HFNU-2026-DG_parsed.txt,parsed_text,text/plain,2129,5ba90ae2b789eb7a8300bea553534226548652d57d8f18127a12225bd4e9d721,2026-08-14T17:10:00+00:00,ASSET-HFNU-2026-DG-HTML,stage1-html-text-extractor,1.0,2026-08-14T17:10:00+00:00
ASSET-HFNU-2026-DG-PDF,SRC-HFNU-2026-DG,raw/2026/HFNU/DOC-HFNU-2026-DG.pdf,DOC-HFNU-2026-DG.pdf,合肥师范学院2026年普通专升本招生考试大纲(专业课).pdf,raw_document,application/pdf,615279,7c1249bea15940d848a540993ed9bbb5ea252097af2472f1729d48b391ff2559,2026-08-14T17:30:21+00:00,,,,
ASSET-HFNU-2026-DG-PDF-TXT,SRC-HFNU-2026-DG,raw/2026/HFNU/DOC-HFNU-2026-DG.txt,DOC-HFNU-2026-DG.txt,DOC-HFNU-2026-DG.txt,parsed_text,text/plain,69751,47d1c75f745f681c63d7c7a26ba7127c787d4e839bffb2b5343baa03e7b43ac2,2026-08-14T17:30:41+00:00,ASSET-HFNU-2026-DG-PDF,pdftotext,24.02.0,2026-08-14T17:30:41+00:00
ASSET-HFNU-2026-LQ-EMBEDDED-PDF,SRC-HFNU-2026-LQ,raw/2026/HFNU/DOC-HFNU-2026-LQ-EMBEDDED.pdf,DOC-HFNU-2026-LQ-EMBEDDED.pdf,DOC-HFNU-2026-LQ-ATT-01.pdf,raw_document,application/pdf,98816,8cad381fc97ae7da6c6c77fdb014158333d04a4f32f027f5ba8d0991e7ff0cc5,2026-08-14T17:10:00+00:00,ASSET-HFNU-2026-LQ-HTML,,,
ASSET-HFNU-2026-LQ-HTML,SRC-HFNU-2026-LQ,raw/2026/HFNU/DOC-HFNU-2026-LQ.html,DOC-HFNU-2026-LQ.html,DOC-HFNU-2026-LQ.html,html_snapshot,text/html,23355,09f1d78c5d0e37bce0c33cfc023aca00867fab2d98f5353c34d164409839b48e,2026-08-14T17:29:30+00:00,,,,
ASSET-HFNU-2026-LQ-HTML-TXT,SRC-HFNU-2026-LQ,raw/2026/HFNU/DOC-HFNU-2026-LQ_parsed.txt,DOC-HFNU-2026-LQ_parsed.txt,DOC-HFNU-2026-LQ_parsed.txt,parsed_text,text/plain,1852,7fc2629c23dccf3ef767e2db8ae3f1d79f4e4dc16f66e8b22d890882eab592bf,2026-08-14T17:10:00+00:00,ASSET-HFNU-2026-LQ-HTML,stage1-html-text-extractor,1.0,2026-08-14T17:10:00+00:00
ASSET-HFNU-2026-ZC-PDF,SRC-HFNU-2026-ZC,raw/2026/HFNU/DOC-HFNU-2026-ZC.pdf,DOC-HFNU-2026-ZC.pdf,2026_合肥师范学院_招生章程_官方.pdf,raw_document,application/pdf,460853,dc078db203863ceaf67cab0ccd3ad89b88305753c3604709dd17f2b0c80d7a0d,2026-08-14,,,,
