eligibility_rule_item_id,eligibility_rule_set_id,ordinal,scope_type,include_or_exclude,category_code,category_name_raw,major_code,major_name_raw,condition_raw
ELIGITEM-7d166935-3024-5072-af86-10d5835ca905,ELIGSET-2f316433-3ea0-54c2-b5ce-9b65ba63d987,1,major_category,include,,电子与信息大类,,,
ELIGITEM-8e5decde-6f30-5a56-a18f-8d24e564d44a,ELIGSET-322419aa-4e87-5526-a1b5-10c859427964,1,major_category,include,,财经商贸大类,,,
ELIGITEM-d62943f4-6940-5c08-b115-75c523a623c0,ELIGSET-322419aa-4e87-5526-a1b5-10c859427964,2,major_category,include,,电子与信息大类,,,
ELIGITEM-7e88c17f-3c9f-5111-98fa-72ed8afe6852,ELIGSET-322419aa-4e87-5526-a1b5-10c859427964,3,major_category,include,,旅游大类,,,
ELIGITEM-2f6df203-7fd4-561b-a220-28b6ff08d2cf,ELIGSET-322419aa-4e87-5526-a1b5-10c859427964,4,major_category,include,,公共管理与服务大类,,,
ELIGITEM-26a24e4c-e5cd-5215-916e-5b8a93272559,ELIGSET-3227bd73-abb5-5555-83c4-8e557d3adc18,1,major_category,include,,食品药品与粮食大类,,,
ELIGITEM-879c8ada-e9ab-5609-91ca-7185547fd840,ELIGSET-3227bd73-abb5-5555-83c4-8e557d3adc18,2,major_category,include,,生物与化工大类,,,
ELIGITEM-afca83be-9973-5996-84f5-b81d31b9433a,ELIGSET-3227bd73-abb5-5555-83c4-8e557d3adc18,3,major_category,include,,医药卫生大类,,,
ELIGITEM-bde1af3d-9fef-5cd0-b157-c36bd471e61d,ELIGSET-3654532b-7fc3-5925-bd21-efff5d3fa346,1,major_category,include,,资源环境与安全大类,,,
ELIGITEM-2bb67582-f3fd-5e41-bf26-990653d2f5aa,ELIGSET-3654532b-7fc3-5925-bd21-efff5d3fa346,2,major_category,include,,电子与信息大类,,,
ELIGITEM-1c68fcc9-ff24-5aaa-8c6c-d2ef8f1fb4ff,ELIGSET-3654532b-7fc3-5925-bd21-efff5d3fa346,3,major_category,include,,装备制造大类,,,
ELIGITEM-3e1c17c1-f800-5c7e-90ca-c35757f5fb82,ELIGSET-3654532b-7fc3-5925-bd21-efff5d3fa346,4,major_category,include,,生物与化工大类,,,
ELIGITEM-f3d456c0-4dfa-5f6c-999f-1cbf4dbf8bfe,ELIGSET-3654532b-7fc3-5925-bd21-efff5d3fa346,5,major_category,include,,医药卫生大类,,,
ELIGITEM-c89f17d0-e58e-51f2-9083-4dd39e4d616e,ELIGSET-3654532b-7fc3-5925-bd21-efff5d3fa346,6,major_category,include,,交通运输大类,,,
ELIGITEM-4e73f372-3668-56f1-87dd-a04974df9c29,ELIGSET-3654532b-7fc3-5925-bd21-efff5d3fa346,7,major_category,include,,能源动力与材料大类,,,
ELIGITEM-695f44ef-92cf-536b-b4ad-647e08464ed0,ELIGSET-36737316-681d-57f9-b425-f3e279fd5010,1,major_category,include,,文化艺术大类,,,
ELIGITEM-07725892-8a6f-5a14-9407-6a753bf80be2,ELIGSET-36737316-681d-57f9-b425-f3e279fd5010,2,major_category,include,,教育与体育大类,,,限于美术教育、艺术教育2个专业
ELIGITEM-dcfec98f-2a07-5379-a135-f49e646ae1fd,ELIGSET-36737316-681d-57f9-b425-f3e279fd5010,3,major_category,include,,电子与信息大类,,,限于数字媒体技术、动漫制作技术、动漫设计与制作3个专业
