path,sha256,size_bytes,mode
anhui_zsb_data/raw_acquisition/institutions/合肥大学/2025/2025_合肥大学_招生章程.htm,ff4fb93753987b43bcf29f1b4829d1952918ca7e509236632aabad8dd442f58e,8508,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥大学/2025/2025_合肥大学_招生章程.pdf,d5cd1b03f936834b05bcee83355b92611578d6dc5789e5a2d006ce87260e6cd1,268004,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥大学/2025/2025_合肥大学_招生章程_text.txt,605f1442ffebc27c6c3b6b566fb1e5f62cbd3de04d7995421303422bb603b70c,1791,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥大学/2026/2026_合肥大学_招生章程.htm,347cb73540058a46eacc7f71f740521a17bfa6096f4162403cdc09ef7d202582,8508,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥大学/2026/2026_合肥大学_招生章程.pdf,2df698ac32a46adfd268797f68b8652479a10c025ec3fa316904fa3b90fc1f99,317702,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥大学/2026/2026_合肥大学_招生章程_text.txt,45494cb8a1aac5472e45d7ba1d5186c1d1dc54d60f3d7ad0be45b7bb5c6f4998,1791,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥师范学院/2025/2025_合肥师范学院_招生章程.htm,d6bda8aa9f7008625dc1ee0abc03d7c51df18a9140c3737bb6ec1d77abec6188,8532,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥师范学院/2025/2025_合肥师范学院_招生章程.pdf,52259c218fdb48295fb782c99244dbeb4af8efe237d8ddb63bf27f46af59168e,405194,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥师范学院/2025/2025_合肥师范学院_招生章程_text.txt,556fd0436e6cd3c046c11ceab24d6ad244a2e601d3ae47b840fa58c4807b338b,1815,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥师范学院/2026/2026_合肥师范学院_招生章程.htm,efd77906a241d47ad8993ff158509f7f87aaa688ce42741b33f0729aba039805,8532,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥师范学院/2026/2026_合肥师范学院_招生章程.pdf,dc078db203863ceaf67cab0ccd3ad89b88305753c3604709dd17f2b0c80d7a0d,460853,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥师范学院/2026/2026_合肥师范学院_招生章程_text.txt,18f116d608252780ac821a77a5d2fe69427351549f21b15266ec2d5420aa6d89,1815,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥经济学院/2025/2025_合肥经济学院_招生章程.htm,a1432e1031a4e3ab7501f2a63896c1378e49f5daadf23bf34420b45a96ac5b05,8532,0o444
