record_id,original_path,evidence_path,sha256,size_bytes,status
LOCAL-2767d9f02b00a37e,anhui_zsb_data/raw_acquisition/institutions/宿州学院/2025/2025_宿州学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/AHSZU/2025/admission_policy/DOC-AHSZU-2025-admission_policy-local-b38fd862ad78-2767d9f0.pdf,b38fd862ad78f64f9955f526de264ab9b39a6919349c447da0f9e2c93ad9ae95,278332,copied_local_only
LOCAL-d4da04c683ed6a94,anhui_zsb_data/raw_acquisition/institutions/宿州学院/2025/2025_宿州学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/AHSZU/2025/admission_policy/DOC-AHSZU-2025-admission_policy-local-e456028c63ea-d4da04c6.txt,e456028c63ea56b18b4be3b4cda01e032dea94587fdd7b0e1958d932a6037b5b,1803,copied_local_only
LOCAL-2cd3f77dda8e0828,anhui_zsb_data/raw_acquisition/institutions/宿州学院/2026/2026_宿州学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/AHSZU/2026/admission_policy/DOC-AHSZU-2026-admission_policy-local-f73367df3f91-2cd3f77d.htm,f73367df3f91911aad23e10d02703e597130f03b0eeaafb64300118da56dcdb6,8519,copied_local_only
LOCAL-fcf837a44b0ab78b,anhui_zsb_data/raw_acquisition/institutions/宿州学院/2026/2026_宿州学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/AHSZU/2026/admission_policy/DOC-AHSZU-2026-admission_policy-local-f74885c13c48-fcf837a4.pdf,f74885c13c485d04cdfe000a018ba48f079bac84a0080daed7f727c5052c3894,270087,copied_local_only
LOCAL-281b4da3e8fb6b2a,anhui_zsb_data/raw_acquisition/institutions/宿州学院/2026/2026_宿州学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/AHSZU/2026/admission_policy/DOC-AHSZU-2026-admission_policy-local-587ac5115d28-281b4da3.txt,587ac5115d2865344f897dbf7fa0564cc00fa25940a33365b4c25b99584ef21d,1803,copied_local_only
LOCAL-f75934629a7f18cd,anhui_zsb_data/raw_acquisition/institutions/巢湖学院/2025/2025_巢湖学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/CHU/2025/admission_policy/DOC-CHU-2025-admission_policy-local-b15e07c14941-f7593462.htm,b15e07c149414e4018f3b9c13746c28f3ad13504d35d5c66450343297384efb3,8521,copied_local_only
LOCAL-fb2861e5a35515c6,anhui_zsb_data/raw_acquisition/institutions/巢湖学院/2025/2025_巢湖学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/CHU/2025/admission_policy/DOC-CHU-2025-admission_policy-local-c0c47a2b8a56-fb2861e5.pdf,c0c47a2b8a565996bcf43bd1cb5816ec05399165e734c7d07a56469d1f4881cf,361658,copied_local_only
LOCAL-2e475cc17dd6f17f,anhui_zsb_data/raw_acquisition/institutions/巢湖学院/2025/2025_巢湖学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/CHU/2025/admission_policy/DOC-CHU-2025-admission_policy-local-c20a5f5887ba-2e475cc1.txt,c20a5f5887bad620564b79229e29fd099e1d7d09bb512b6213388bcbadf85abe,1804,copied_local_only
LOCAL-c133abd29fe8465b,anhui_zsb_data/raw_acquisition/institutions/巢湖学院/2026/2026_巢湖学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/CHU/2026/admission_policy/DOC-CHU-2026-admission_policy-local-fb048f998527-c133abd2.htm,fb048f99852713884ca897390ec2337b2fe616cd47ffee6c56cf25c70f5eedf2,8520,copied_local_only
LOCAL-48b800d490a063bf,anhui_zsb_data/raw_acquisition/institutions/巢湖学院/2026/2026_巢湖学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/CHU/2026/admission_policy/DOC-CHU-2026-admission_policy-local-c5fa61319ef4-48b800d4.pdf,c5fa61319ef42381708db283e2a9f8f8d6964164c60943e25157b44a96e005b4,363253,copied_local_only
LOCAL-ee9d182f0bcfa2b9,anhui_zsb_data/raw_acquisition/institutions/巢湖学院/2026/2026_巢湖学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/CHU/2026/admission_policy/DOC-CHU-2026-admission_policy-local-587ac5115d28-ee9d182f.txt,587ac5115d2865344f897dbf7fa0564cc00fa25940a33365b4c25b99584ef21d,1803,copied_local_only
LOCAL-1edf22e35a1a8969,anhui_zsb_data/raw_acquisition/institutions/池州学院/2025/2025_池州学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/CZU/2025/admission_policy/DOC-CZU-2025-admission_policy-local-368a0347566b-1edf22e3.htm,368a0347566b454765ad771f40d8972aaffbe744c8084fd7f61a6a4e4a5988f4,8520,copied_local_only
LOCAL-8e730cfa754dddaa,anhui_zsb_data/raw_acquisition/institutions/池州学院/2025/2025_池州学院_招生章程.pdf,anhui_zsb_data/evidence/full_raw_30_schools/CZU/2024/other/DOC-CZU-2024-other_official_notice-7ecfbf1ae5.pdf,3f0bebcbd39b096af17bcea850366a518a9d5c1ab5f775be8add2d91fe50bf0e,187764,already_in_remote_evidence
LOCAL-86cd0b3685907b78,anhui_zsb_data/raw_acquisition/institutions/池州学院/2025/2025_池州学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/CZU/2025/admission_policy/DOC-CZU-2025-admission_policy-local-e456028c63ea-86cd0b36.txt,e456028c63ea56b18b4be3b4cda01e032dea94587fdd7b0e1958d932a6037b5b,1803,copied_local_only
LOCAL-b76fd2808c5c3d88,anhui_zsb_data/raw_acquisition/institutions/池州学院/2026/2026_池州学院_招生方案.htm,anhui_zsb_data/evidence/local_reconciliation/schools/CZU/2026/admission_policy/DOC-CZU-2026-admission_policy-local-a7e15771b5a5-b76fd280.htm,a7e15771b5a56cc96fb94d5e73ed1ec5bce65d27d7efff648ebfd417aa38990d,77535,copied_local_only
LOCAL-4631d500f0b380e4,anhui_zsb_data/raw_acquisition/institutions/池州学院/2026/2026_池州学院_招生章程.pdf,anhui_zsb_data/evidence/full_raw_30_schools/CZU/2024/other/DOC-CZU-2024-other_official_notice-310cab35fb.pdf,8e5cc7504afef96ff5624a41c62b3ca0f06cdedfc9a611dc1e0188a5601beadb,190834,already_in_remote_evidence
LOCAL-669e70e362b120fb,anhui_zsb_data/raw_acquisition/institutions/淮北理工学院/2025/2025_淮北理工学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/HBLG/2025/admission_policy/DOC-HBLG-2025-admission_policy-local-521dfc0fd96f-669e70e3.htm,521dfc0fd96f13ddefaf0cc818e8ed0762ad9791a766b0ecbefff1b77b4d4d74,8556,copied_local_only
LOCAL-6cd6ba81e596de1e,anhui_zsb_data/raw_acquisition/institutions/淮北理工学院/2025/2025_淮北理工学院_招生章程.pdf,anhui_zsb_data/evidence/full_raw_30_schools/HBLG/2025/admission_policy/AST-HBLG-2025-admission_policy-4e112f215bd9.pdf,6c9b18a00d55a809230ad63653b17ef537ea3ed972157232a78cb7c1ad2cd554,313881,already_in_remote_evidence
LOCAL-edff02a8d2313d39,anhui_zsb_data/raw_acquisition/institutions/淮北理工学院/2025/2025_淮北理工学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/HBLG/2025/admission_policy/DOC-HBLG-2025-admission_policy-local-10add132cbde-edff02a8.txt,10add132cbde981d96a0e8744e90998fd145c6cdbf032cb4e295ba939ab4140b,1839,copied_local_only
LOCAL-ede372041f4fb0a0,anhui_zsb_data/raw_acquisition/institutions/淮北理工学院/2026/2026_淮北理工学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/HBLG/2026/admission_policy/DOC-HBLG-2026-admission_policy-local-ce54691e08f3-ede37204.htm,ce54691e08f3829936038f155850a965411e58e6d883cacbd69caecd5cfce841,8556,copied_local_only
LOCAL-77074f53c3bbc228,anhui_zsb_data/raw_acquisition/institutions/淮北理工学院/2026/2026_淮北理工学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/HBLG/2026/admission_policy/DOC-HBLG-2026-admission_policy-local-68081a8ffad7-77074f53.pdf,68081a8ffad7b3805743a3b1954a375b3d80712ab8fe164a7120b7ac6845c287,317908,copied_local_only
LOCAL-701b853ed770f286,anhui_zsb_data/raw_acquisition/institutions/淮北理工学院/2026/2026_淮北理工学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/HBLG/2026/admission_policy/DOC-HBLG-2026-admission_policy-local-b902e25cd515-701b853e.txt,b902e25cd51558c1291521fa132cafcf2cb5b3f52a38e2dd00c5cc5e0938c2cb,1839,copied_local_only
LOCAL-5104dd019d18102e,anhui_zsb_data/raw_acquisition/institutions/淮南师范学院/2025/2025_淮南师范学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/HNNU/2025/admission_policy/DOC-HNNU-2025-admission_policy-local-0298ff47db8c-5104dd01.htm,0298ff47db8c44edd5f6d9b001e5922e70ff3cdb1c5f0abb6430576033223578,8544,copied_local_only
LOCAL-177549dda36991fe,anhui_zsb_data/raw_acquisition/institutions/淮南师范学院/2025/2025_淮南师范学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/HNNU/2025/admission_policy/DOC-HNNU-2025-admission_policy-local-5e144d87927e-177549dd.pdf,5e144d87927e77a3d791e518298d15d7a4b4350c3a47329882ab672ce112192c,177907,copied_local_only
